selection,selection_label,target_count,radius_arcsec,healpix_level,nside,pixel_width_deg,footprint_pixels,footprint_area_deg2
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,7,128,0.458065,2493,523.089764
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,8,256,0.229032,2547,133.605057
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,9,512,0.114516,2605,34.161874
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,10,1024,0.057258,2714,8.897824
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,11,2048,0.028629,2950,2.417887
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,12,4096,0.014315,3500,0.717170
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,7,128,0.458065,2512,527.076409
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,8,256,0.229032,2594,136.070482
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,9,512,0.114516,2707,35.499498
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,10,1024,0.057258,2951,9.674826
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,11,2048,0.028629,3451,2.828518
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,12,4096,0.014315,4681,0.959163
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,7,128,0.458065,2620,549.737338
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,8,256,0.229032,2833,148.607431
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,9,512,0.114516,3221,42.240075
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,10,1024,0.057258,4096,13.428698
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,11,2048,0.028629,6074,4.978388
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,30,12,4096,0.014315,11126,2.279781
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,7,128,0.458065,2770,581.210849
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,8,256,0.229032,3165,166.022774
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,9,512,0.114516,4013,52.626334
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,10,1024,0.057258,6073,19.910275
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,11,2048,0.028629,11186,9.168300
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,60,12,4096,0.014315,25211,5.165877
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,7,128,0.458065,630,132.188749
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,8,256,0.229032,638,33.466834
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,9,512,0.114516,658,8.628988
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,10,1024,0.057258,698,2.288387
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,11,2048,0.028629,750,0.614717
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,12,4096,0.014315,860,0.176219
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,7,128,0.458065,639,134.077160
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,8,256,0.229032,652,34.201216
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,9,512,0.114516,686,8.996179
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,10,1024,0.057258,766,2.511324
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,11,2048,0.028629,893,0.731923
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,12,4096,0.014315,1155,0.236666
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,7,128,0.458065,660,138.483451
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,8,256,0.229032,697,36.561729
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,9,512,0.114516,816,10.700994
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,10,1024,0.057258,1031,3.380124
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,11,2048,0.028629,1538,1.260580
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,30,12,4096,0.014315,2818,0.577424
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,7,128,0.458065,696,146.037094
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,8,256,0.229032,762,39.971360
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,9,512,0.114516,1021,13.389356
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,10,1024,0.057258,1545,5.065268
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,11,2048,0.028629,2797,2.292485
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,60,12,4096,0.014315,6319,1.294799
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,7,128,0.458065,3107,651.921339
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,8,256,0.229032,3181,166.862068
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,9,512,0.114516,3262,42.777748
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,10,1024,0.057258,3412,11.186211
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,11,2048,0.028629,3700,3.032604
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,12,4096,0.014315,4360,0.893389
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,7,128,0.458065,3135,657.796394
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,8,256,0.229032,3242,170.061875
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,9,512,0.114516,3392,44.482563
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,10,1024,0.057258,3717,12.186150
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,11,2048,0.028629,4344,3.560441
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,12,4096,0.014315,5836,1.195830
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,7,128,0.458065,3262,684.443968
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,8,256,0.229032,3526,184.959337
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,9,512,0.114516,4036,52.927956
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,10,1024,0.057258,5127,16.808822
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,11,2048,0.028629,7612,6.238968
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,30,12,4096,0.014315,13944,2.857205
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,7,128,0.458065,3448,723.471122
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,8,256,0.229032,3923,205.784311
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,9,512,0.114516,5033,66.002577
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,10,1024,0.057258,7618,24.975543
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,11,2048,0.028629,13983,11.460784
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,60,12,4096,0.014315,31530,6.460676
